accel x(m/s^2),accel y(m/s^2),accel z(m/s^2),press (hPa),tempe (C)),altit (m),gyro x(m/s^2),gyro y(m/s^2),gyro z(m/s^2),
1022.33,0,0,1022.33,22.9,-75.33,4,-20,-8,169
1022.41,0,0,1022.41,22.9,-75.99,0,0,1,170
1022.36,0,0,1022.36,22.9,-75.57,6,285,16,172
1022.33,0,0,1022.33,22.9,-75.33,-1,-44,1,174
1022.44,0,0,1022.44,22.9,-76.23,48,53,-16,175
1022.25,0,0,1022.25,22.9,-74.67,0,0,1,177
1022.29,0,0,1022.29,22.9,-74.99,0,0,2,179
1022.33,0,0,1022.33,22.8,-75.33,0,0,1,180
1022.33,0,0,1022.33,22.9,-75.33,-66,26,6,182
1022.3,0,0,1022.3,22.8,-75.08,-16,6,0,184
1022.3,0,0,1022.3,22.8,-75.08,2,1,3,185
1022.25,0,0,1022.25,22.8,-74.67,57,-4,0,187
1022.28,0,0,1022.28,22.8,-74.91,-7,-20,0,189
1022.33,0,0,1022.33,22.8,-75.33,-6,3,1,190
1022.31,0,0,1022.31,22.8,-75.16,1,0,13,192
1022.35,0,0,1022.35,22.9,-75.49,-1,3,-37,194
1022.32,0,0,1022.32,22.8,-75.24,0,0,1,195
1022.31,0,0,1022.31,22.8,-75.16,0,0,1,197
1022.32,0,0,1022.32,22.8,-75.24,0,0,1,199
1022.36,0,0,1022.36,22.9,-75.57,0,0,1,200
1022.32,0,0,1022.32,22.9,-75.24,0,0,1,202
1022.34,0,0,1022.34,22.9,-75.41,0,0,1,204
1022.29,0,0,1022.29,22.9,-74.99,0,0,1,205
1022.35,0,0,1022.35,22.9,-75.49,0,0,1,207
1022.41,0,0,1022.41,22.8,-75.99,0,0,1,209
1022.35,0,0,1022.35,22.9,-75.49,0,0,1,210
1022.34,0,0,1022.34,22.9,-75.41,0,0,1,212
1022.36,0,0,1022.36,22.9,-75.57,0,0,1,214
1022.32,0,0,1022.32,22.9,-75.24,0,0,1,215
1022.31,0,0,1022.31,22.8,-75.16,0,0,1,217
1022.32,0,0,1022.32,22.8,-75.24,0,0,1,219
1022.27,0,0,1022.27,22.8,-74.83,0,0,1,220
1022.29,0,0,1022.29,22.8,-74.99,0,0,1,222
1022.28,0,0,1022.28,22.9,-74.91,0,0,1,224
1022.29,0,0,1022.29,22.8,-74.99,0,0,1,225
1022.29,0,0,1022.29,22.8,-74.99,0,0,1,227
1022.25,0,0,1022.25,22.8,-74.67,0,0,1,229
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,230
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,232
1022.25,0,0,1022.25,22.8,-74.67,0,0,1,234
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,235
1022.32,0,0,1022.32,22.8,-75.24,0,0,1,237
1022.35,0,0,1022.35,22.8,-75.49,0,0,1,239
1022.27,0,0,1022.27,22.8,-74.83,0,0,1,240
1022.26,0,0,1022.26,22.8,-74.74,0,0,1,242
1022.24,0,0,1022.24,22.8,-74.58,0,0,1,244
1022.29,0,0,1022.29,22.8,-74.99,0,0,1,245
1022.2,0,0,1022.2,22.8,-74.25,0,0,1,247
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,248
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,250
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,252
1022.27,0,0,1022.27,22.8,-74.83,0,0,1,253
1022.26,0,0,1022.26,22.8,-74.74,0,0,1,255
1022.22,0,0,1022.22,22.8,-74.42,0,0,1,257
1022.21,0,0,1022.21,22.8,-74.33,0,0,1,258
1022.17,0,0,1022.17,22.8,-74,0,0,1,260
1022.13,0,0,1022.13,22.8,-73.67,0,0,1,262
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,263
1022.19,0,0,1022.19,22.8,-74.17,0,0,1,265
1022.16,0,0,1022.16,22.8,-73.92,0,0,1,267
1022.19,0,0,1022.19,22.8,-74.17,0,0,1,268
1022.18,0,0,1022.18,22.8,-74.08,0,0,1,270
1022.24,0,0,1022.24,22.8,-74.58,0,0,1,272
1022.12,0,0,1022.12,22.8,-73.59,0,0,1,273
1022.11,0,0,1022.11,22.8,-73.51,0,0,1,275
1022.16,0,0,1022.16,22.8,-73.92,0,0,1,277
1022.13,0,0,1022.13,22.8,-73.67,0,0,1,278
1022.13,0,0,1022.13,22.8,-73.67,0,0,1,280
1022.18,0,0,1022.18,22.8,-74.08,0,0,1,282
1022.07,0,0,1022.07,22.8,-73.18,0,0,1,283
1022.15,0,0,1022.15,22.8,-73.84,0,0,1,285
1022.14,0,0,1022.14,22.8,-73.76,0,0,1,287
1022.08,0,0,1022.08,22.8,-73.26,0,0,1,288
1022.09,0,0,1022.09,22.8,-73.34,0,0,1,290
1022.04,0,0,1022.04,22.8,-72.93,0,0,1,292
1022.09,0,0,1022.09,22.8,-73.34,0,0,1,293
1022.11,0,0,1022.11,22.8,-73.51,0,0,1,295
1022.07,0,0,1022.07,22.8,-73.18,0,0,1,297
1022.07,0,0,1022.07,22.8,-73.18,0,0,1,298
1022.07,0,0,1022.07,22.8,-73.18,0,0,1,300
1022.1,0,0,1022.1,22.8,-73.42,0,0,1,302
1022.02,0,0,1022.02,22.8,-72.76,0,0,1,303
1022.1,0,0,1022.1,22.8,-73.42,-7,4,3,305
1022.07,0,0,1022.07,22.8,-73.18,0,0,1,307
1022.09,0,0,1022.09,22.8,-73.34,0,0,1,308
1022.11,0,0,1022.11,22.8,-73.51,0,0,1,310
1022.13,0,0,1022.13,22.8,-73.67,0,0,1,312
1022.13,0,0,1022.13,22.8,-73.67,0,0,1,313
1022.06,0,0,1022.06,22.8,-73.1,0,0,1,315
1022.09,0,0,1022.09,22.8,-73.34,0,0,1,317
1022.04,0,0,1022.04,22.8,-72.93,0,0,1,318
1022.05,0,0,1022.05,22.8,-73.01,0,0,1,320
1022.06,0,0,1022.06,22.8,-73.1,0,0,1,322
1022.02,0,0,1022.02,22.8,-72.76,0,0,1,323
1022.13,0,0,1022.13,22.8,-73.67,0,0,2,325
1022.01,0,0,1022.01,22.8,-72.68,0,0,1,327
1022.06,0,0,1022.06,22.8,-73.1,0,0,1,328
1022.05,0,0,1022.05,22.8,-73.01,0,0,1,330
1022.04,0,0,1022.04,22.8,-72.93,0,0,2,332
1021.99,0,0,1021.99,22.8,-72.51,0,0,1,333
1022.02,0,0,1022.02,22.8,-72.76,0,0,1,335
1022.08,0,0,1022.08,22.8,-73.26,0,0,1,337
1022.01,0,0,1022.01,22.8,-72.68,0,0,1,338
1021.96,0,0,1021.96,22.8,-72.27,0,0,1,340
1021.98,0,0,1021.98,22.8,-72.43,0,0,2,342
1021.98,0,0,1021.98,22.8,-72.43,0,0,1,343
1021.98,0,0,1021.98,22.8,-72.43,0,0,2,345
1021.99,0,0,1021.99,22.8,-72.51,0,0,1,347
1021.96,0,0,1021.96,22.8,-72.27,0,0,1,348
1021.92,0,0,1021.92,22.8,-71.94,0,0,2,350
1021.98,0,0,1021.98,22.8,-72.43,0,0,1,352
1022.05,0,0,1022.05,22.8,-73.01,0,0,1,353
1021.93,0,0,1021.93,22.8,-72.02,0,0,1,355
1021.96,0,0,1021.96,22.8,-72.27,0,0,1,357
1021.97,0,0,1021.97,22.8,-72.35,0,0,1,358
